Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
Human retinalperiphery 32 years vs 74 years GSE32614 aging:151,96/293,1.2596422941544196e-09,3.2750699648014906e-08,0,0,2.2201646061088303,45.49658565108081,YWHAE;NCKAP1;GPI;TOP2B;TFRC;RPL31;HSPB1;MT1X;SLC2A3;GHITM;RPL8;COX6A1;IFIT3;TMEM263;PPP1CB;MT2A;MAP1LC3B;LAPTM4A;UBL3;YWHAQ;BASP1;TUBB3;SEC61G;FAM174A;KDR;ITGAV;AP3S1;PTGDS;SEC62;B2M;GLUL;ENOPH1;TMSB10;SKP1;HMGN1;TPD52;BNIP3L;LYPLA1;HSP90AA1;GPR37;SECISBP2L;MIF;DPM1;BBS10;WDR82;PRKAR1A;HNRNPH1;ERH;ALDOA;EIF1B;TSPYL4;CD63;DDX5;CEBPB;BEX1;OAT;CEBPD;PIK3R1;LIN7C;OAZ1;RTN4;RHOT1;BAG3;RAD21;EMC2;UBC;MXI1;NRIP1;SPP1;PGK1;RAB6A;MOAP1;PHF10;HSPA5;NDUFA5;AGL;BNIP3;NEK7;SULF1;TUBB4B;VEGFA;RPS26;CS;SLC4A7;FABP5;XPOT;RCAN2;NDUFAB1;BHLHE40;MAFF;CYCS;TAF7;SERINC1;FAU;HSPA1B;HSPA1A,Aging_Perturbations_from_GEO_down
Human CD4+Tlyphocytes 61 years vs 72 years GSE62373 aging:169,114/369,1.897901702864612e-09,4.5233323918273255e-08,0,0,2.039824646208724,40.96481298753604,PRDM8;MIDN;NUP188;NCF2;MT2A;BASP1;ARHGDIA;FAM3A;JUNB;ZNF444;IER3;STARD3;PAM16;PTOV1;ACTN4;RFX1;PASK;ATAD3A;SLC5A6;PYGO2;CDC34;WDR81;MTHFD2;GRWD1;RAB34;NHP2;ERF;CCDC86;TP53;TRIB2;VPS28;IDO1;NPAT;SBNO2;BAG3;INPP5E;HMOX1;RCE1;BCL9L;CREBBP;ACD;ZFHX3;CCZ1B;M6PR;CHCHD10;ISG15;PA2G4;POU2F2;DRAP1;GRHPR;LSM7;IL6;CNOT3;PAF1;FARSA;YWHAE;NCAPG2;HSPB1;SLC7A11;IRF2BPL;MED12;C16ORF72;FLOT1;PELP1;UPF1;TSC22D4;MRPS26;ZFR;DDX56;AHSA1;RAD23A;VPS37B;ETV6;MED25;TUBB2A;PPDPF;AKT1S1;C19ORF25;DAGLB;EGFL8;SF3B4;NFAT5;ZNF593;AHCY;MGRN1;TUFT1;CEBPG;CRIP2;NR2C2;LAGE3;FBXL20;EXOSC5;SERTAD1;TMEM204;SNX25;CTNNA1;STAT6;STX4;ROMO1;UBQLN4;SH2B1;MID1IP1;ADRM1;SGTA;G0S2;BATF;BYSL;SPSB2;MYBBP1A;MFAP1;TACC3;NRDE2;HSPA1B;HSPA1A,Aging_Perturbations_from_GEO_down
Mouse oculomotor nucleus 18 months vs 30 months GDS1280 aging:4,109/359,1.2270511787960802e-08,2.699512593351377e-07,0,0,1.9871680814940575,36.19838665160994,APP;SCOC;AHCYL1;CMAS;RRP1;ROGDI;GHITM;RPL8;COX6A1;ACTG1;GJA1;LAPTM4A;SNRPD2;RPS19;BASP1;AP1S1;PTGDS;KIFAP3;PRKACA;SKP1;RPS9;ACOT7;USP5;RPS5;HPCAL1;ALG2;MIF;SCAMP1;RRAGA;COX7A2L;TMX1;RFX5;UQCRC1;FLYWCH1;TRIB2;TSPYL4;RTN3;TTYH3;ATXN7L3B;OAZ1;SNX3;STIP1;PPP3R1;KLC2;PGK1;RAB6A;BTF3;CBX6;GSTM1;PDHA1;TNK2;GOT2;M6PR;CHCHD10;CS;EIF6;UBE2S;UBE2O;CYCS;UBA1;ACO2;SAE1;SERINC3;TMEM151A;PYGB;ARF1;TCF25;RPLP1;TECR;CALB2;SMPD1;HRAS;COX8A;ZFR;YWHAZ;COPZ1;SYN1;MLF2;DNAJC5;NDUFS5;ATP6V1B2;VAMP1;SLC25A5;ATP6V0C;STX12;NDUFB9;OAT;WBP2;UQCR10;COX5B;MFF;COX5A;MRPL55;U2AF2;EIF4H;NCDN;RAB28;RABAC1;CCT4;POLR2M;MARCKSL1;NDUFA6;MDH2;RAB11B;TJP1;GLRB;NDUFAB1;EIF3G;STUB1,Aging_Perturbations_from_GEO_down
Mouse spinal cord 9 months vs 12 months GDS967 aging:331,56/151,3.1353199782760474e-08,6.405010812763924e-07,0,0,2.672434082138717,46.17418113636188,APP;RPL5;CHPF;TRADD;COX6A1;ACTB;ACTG1;LAPTM4A;GJA1;TUBA1B;BASP1;FTH1;PTGDS;GLUL;CTSD;PDIA3;PCID2;HSP90AA1;DUSP2;HPCAL1;DYNLL2;YWHAZ;EEF1A1;PRKAR1A;FSCN1;ALDOA;EIF1B;ATP6V0C;PTMA;SNRPB;CHMP5;RTN3;HDAC2;SDC4;ANAPC11;UBB;MAT2A;UBC;PGK1;NCDN;RPS2;RPL19;CD164;MARCKSL1;NDFIP1;JUND;OSBPL5;HSPA5;MDH2;RPA1;ZWINT;RPS28;OCIAD1;CALM1;HSPA1B;HSPA1A,Aging_Perturbations_from_GEO_down
Mouse hippocampus 14 months vs 20 months GSE48911 aging:392,133/472,5.257041359231165e-08,1.0023425524934089e-06,0,0,1.790412559144123,30.0093060650576,EHMT2;RRP1;ROGDI;EMC10;TMEM147;ARHGDIA;CFL1;BSN;PTGDS;B2M;SCN1B;SMARCC2;FBXO2;AP1B1;ALG2;PTOV1;SCAMP1;TMEM130;CTDNEP1;RRAGA;MAP7D1;UQCRC1;FKBP8;SMS;FLYWCH1;PHPT1;KCTD17;PFN1;ATP6V0D1;RPL28;SQSTM1;CTXN1;EIF1B;LRRC58;ATP6V1A;IGSF8;SPTBN4;TTYH3;RAB5C;BEX1;CNP;CTBP1;CEND1;BHLHE22;SEZ6L2;ACTR3B;ABR;KLC2;RAD21;CAMTA2;PIP5K1C;SPTBN2;EGR1;CBX6;JUND;WFS1;MYO5A;L1CAM;PRRC2A;DRAP1;ARHGAP33;EHD3;STK25;FASN;GNB2;LRP11;TMEM151A;YWHAE;PYGB;PTPRN;TECR;CHD5;AP2A1;CHD3;NRGN;MAP1LC3A;DBP;SLC22A17;TRIM3;CHMP1A;CEP170B;GPR137;CIC;CTSD;HRAS;GIT1;PSD;SVOP;RNF208;RAD23B;SYN1;SREBF2;EPN1;MLF2;MRAS;RCN2;KIFC2;VGF;SNPH;MMP17;ITPKA;TRNP1;SHANK3;DBN1;PAFAH1B1;WBP2;PDXP;ATP1A2;PPM1G;CAMK2N2;SUSD4;NCDN;APBB1;RABAC1;SLC25A22;UBQLN4;POLR2M;NPDC1;MID1IP1;SGTA;VEGFB;PDAP1;NMNAT2;SCAF1;RAB11A;SKI;PFKL;FABP5;NEDD4;CARM1;APBA1;MEGF8;SSBP4,Aging_Perturbations_from_GEO_down
Mouse hippocampus 4 months vs 9 months GSE48911 aging:387,123/430,6.685540202516625e-08,1.1950403111998466e-06,0,0,1.8268340983121116,30.180639704373757,HDAC11;ACTB;CMIP;GJA1;LAPTM4A;TMEM147;BASP1;PRKACA;KIFAP3;SCN1B;GABARAPL1;HPCAL1;UBE2E1;ACTN4;SCAMP1;TMEM130;RRAGA;UQCRC1;SMS;FLYWCH1;PFN1;SQSTM1;CTXN1;EIF1B;TSPYL4;STX1A;GLYR1;PFN2;LRRC58;ATP6V1A;IGSF8;RTN3;TTYH3;RAB5C;BEX1;FOXG1;ATXN7L3B;BHLHE22;SEZ6L2;ACTR3B;RTN4;MYL12B;ABR;CAMTA2;RAB6A;ATP6V1D;SPTBN2;RAP1GAP2;EGR1;CBX6;NDFIP1;JUND;WFS1;L1CAM;ARHGAP33;EHD3;STK25;LHX2;SERINC1;TCF4;ACO2;CALM1;RAB5A;LRP11;TMEM151A;YWHAE;ARF1;PTPRN;CLTA;AP2A1;CHD3;MED16;NRGN;MAP1LC3A;YWHAQ;ZC3H7B;DNER;CEP170B;CIC;GIT1;PSD;HSP90AA1;RNF208;DYNLL2;ITFG1;SYN1;KLF16;EPN1;TUBB2B;TUBB2A;RCN2;KIFC2;VGF;SNPH;DNAJC5;ITPKA;HNRNPH2;CD47;PTMA;ATP6V0C;SHANK3;MTPN;WBP2;DCTN3;PDXP;ATP1A2;PURB;PSMB4;CAMK2N2;NCDN;APBB1;SLC25A22;NPDC1;MDH1;RANBP9;AP2B1;PFKL;GLRB;CARM1;TTC3;OCIAD1;FAM171B;MEGF8,Aging_Perturbations_from_GEO_down
Mouse ovary 90 days vs 180 days GSE14937 aging:348,98/325,9.499102161995596e-08,1.598084246076906e-06,0,0,1.964347626178212,31.762486449363365,NCKAP1;ARL6IP1;NDUFA11;TMEM167B;NUCKS1;ACTB;TXN2;ACTG1;IPO5;GJA1;NSDHL;CHCHD2;TMEM147;RPS19;RPL18A;RPS18;PSMD2;KHSRP;RPL35;HMGN1;ACVR1;PDIA3;FNDC3B;SND1;CDC40;COX7A2L;TMX1;ZC3H11A;CDC37;TXNIP;PFN1;RAF1;MACF1;COPB2;DDX5;ZMPSTE24;PPP4C;PRKAR2B;PGK1;CD164;FDPS;TMEM86A;AKIRIN1;JUND;SDF2L1;UBE2I;HSPA5;RDX;CHCHD10;HNRNPL;UBE2S;STK25;SERINC1;ARF1;ALAS1;ZC3H3;TCF21;YWHAQ;TMED2;TSPO;EFHD1;ITGAV;PGLS;GET4;COX8A;GPX1;TNFRSF12A;PRMT1;YWHAZ;DDB1;PTP4A1;HNRNPH1;ACSBG1;TOP1;SF3B5;STX12;RAB1B;TMEM160;TM9SF3;CDC42;TNKS2;MAT2A;RPL13;RABAC1;RPL18;RPL19;ATAD1;ARFGEF1;MLXIP;PPP1R14B;NDUFA7;USP9X;CNBP;NDUFA3;PPP1CA;PNRC2;KLHL9;GOLPH3,Aging_Perturbations_from_GEO_down
Mouse hippocampus 3 months vs 16 months GDS2654 aging:63,115/402,1.7618927539639454e-07,2.799451820187157e-06,0,0,1.8251696729795288,28.384503963727752,NCKAP1;APP;ROGDI;UBP1;GHITM;CMIP;NPEPPS;TUBB3;BASP1;ARHGDIA;PSMD3;CFL1;PRKACA;PTGDS;KIFAP3;KPNA3;TMSB10;SCN1B;HMGN1;SCN1A;GABARAPL1;ATP6V1G1;ACOT7;PTOV1;UHMK1;PRKAR1A;FKBP8;FSCN1;EIF1B;TSPYL4;PFN2;MACF1;RTN3;DDX5;ARHGEF25;ATXN7L3B;RTN4;HSP90B1;MYL12B;SNX3;PPP3R1;DPP8;UBC;PGK1;SPTBN2;NUS1;XBP1;JUND;MYPOP;PDHA1;UBE2B;HSPA5;WFS1;SMARCA4;HIGD2A;AHI1;GNB2;SERINC1;UBA1;CALM1;RAB5A;OGT;CDK16;ARF1;PTPRS;PTPRN;NRGN;UBL3;SUMO1;SMPD1;AP3S1;CIC;TNPO2;PSD;HSP90AA1;PEG3;ZFR;RANGAP1;DYNLL2;YWHAZ;NCOR2;PTP4A1;PTP4A2;TUBB2A;HNRNPH1;DNAJC5;STRAP;TOP1;PTMA;ATP6V0C;PAFAH1B1;SNAP47;STX12;WBP2;SRRT;SH3BGRL;TNKS2;U2AF2;MAPK1;NCDN;EPS15;UBQLN2;NPDC1;NFYB;CRIPT;AP2B1;WDR13;FKBP1A;TJP1;PFKL;GLRB;TTC3;OCIAD1;CTNNB1;EIF3C,Aging_Perturbations_from_GEO_down
Mouse hippocampus 4 months vs 9 months GSE48911 aging:381,121/429,1.9633797506415526e-07,2.955403203597284e-06,0,0,1.790165896000649,27.646298660259685,HDAC11;CMIP;PPP1CB;GJA1;TMEM147;BASP1;PRKACA;KIFAP3;SCN1B;GABARAPL1;HPCAL1;UBE2E1;PTOV1;ACTN4;SCAMP1;TMEM130;UQCRC1;SMS;FLYWCH1;ATP6V0D1;CTXN1;EIF1B;TSPYL4;GLYR1;LRRC58;ATP6V1A;IGSF8;RTN3;TTYH3;BEX1;NDUFB11;FOXG1;ATXN7L3B;BHLHE22;SEZ6L2;OAZ1;ACTR3B;MYL12B;PCBP4;CAMTA2;RAB6A;ATP6V1D;SPTBN2;EGR1;CBX6;NDFIP1;JUND;WFS1;MOB4;ARHGAP33;EHD3;STK25;LHX2;CYCS;TCF4;ACO2;CALM1;RAB5A;LRP11;TMEM151A;YWHAE;PTPRN;CLTA;AP2A1;CHD3;MED16;NRGN;MAP1LC3A;YWHAQ;SLC22A17;ZC3H7B;SUMO2;CIC;GIT1;PSD;HSP90AA1;RNF208;DYNLL2;RAD23B;ITFG1;SYN1;KLF16;EPN1;PTP4A2;TUBB2B;TUBB2A;MRAS;RCN2;KIFC2;VGF;SNPH;ITPKA;HNRNPH2;CD47;PTMA;ATP6V0C;SHANK3;MGLL;WBP2;DCTN3;PDXP;ATP1A2;MFF;COX5A;PURB;PSMB4;SH3BGRL;CAMK2N2;NCDN;APBB1;SLC25A22;POLR2M;NPDC1;MDH1;RANBP9;AP2B1;RAB11B;GLRB;ABHD17A;OCIAD1;FAM171B,Aging_Perturbations_from_GEO_down
Rat hippocampus CA1 18 months vs 28 months GSE21681 aging:353,82/270,7.439834476089143e-07,1.0638963300807474e-05,0,0,1.9804650857098471,27.946832098743776,NCKAP1;CMAS;CLTC;GHITM;THUMPD1;RPL8;PPP3CB;CHCHD2;AKAP11;SCP2;SUMO1;STMN1;SUMO2;HMGN3;KPNA3;SKP1;HMGN1;DGCR2;MAP2K1;RPS3A;YWHAZ;CDC40;ITFG1;PJA2;EEF1A1;COX7A2L;LMBRD1;TUBB2A;TMX3;RCN2;HNRNPH1;TCP1;CLDN12;ATP6V1B2;SNRPC;SLC25A5;SSX2IP;PFN2;CHMP5;ATP6V1A;LRRC58;STX12;RTN3;OAT;CTBP1;FOXG1;USO1;KLHL12;BHLHE22;SNX3;CDC42;COMMD8;GNG10;PSMB4;BTBD1;EMC2;CTNNA1;CEPT1;ATP6V1D;CCT4;RAP1GAP2;AKIRIN1;NDFIP1;MDH1;CBX3;BAD;TNK2;CNBP;BNIP3;YIPF5;WDR13;PRRC2B;ARCN1;TM9SF2;MOB4;CNIH1;TTC3;SERINC1;KRAS;CALM1;SERINC3;FGFR3,Aging_Perturbations_from_GEO_down
Mouse retina 3 months vs 16 months GDS2654 aging:62,97/339,1.5550600315818025e-06,2.117843662059026e-05,0,0,1.8215787314772087,24.36178741086281,RPL5;SMARCB1;GHITM;COX6A1;PPP1CB;PSMD9;COMTD1;NSDHL;BASP1;FTH1;PSMD3;ARL6IP5;AP1S1;TMEM38B;GLUL;SAMD10;DDX17;TPD52;ATP6V1G1;PAM16;HPCAL1;NRBP1;UHMK1;EWSR1;TMX1;ZC3H11A;UNC50;UQCRC1;JTB;RBCK1;TSPYL4;SF1;DDX5;CTBP2;NDUFB11;LIN7C;RTN4;SNX3;RAD51AP1;ZNHIT1;RHOT1;UBB;PCBP4;DHX36;HMOX1;SNX6;CDT1;CD164;NDFIP1;PRRC2A;HIGD2A;PROC;CDC16;GNB1;ANP32E;SERINC1;REEP6;UBE2M;YWHAE;PTPRS;ZC3H3;AP2A1;NUDCD3;MAP1LC3B;CHAF1B;YWHAQ;PGLS;TNPO2;PSD;DDB1;DDAH2;MMP17;RPL37A;PTMA;SLC25A11;GSTP1;COX5B;MFF;FOXRED1;MAT2A;RALY;RPS2;RPL18;PAK4;UBQLN2;ARFGEF1;NDUFA6;RNF26;RPL23A;DEF8;FKBP1A;SLC4A7;NEDD4;DOLPP1;OCIAD1;CTNNB1;SSBP2,Aging_Perturbations_from_GEO_down
Mouse tumor 68 days vs 143 days GSE66414 aging:143,85/288,1.7406609789655308e-06,2.26285927265519e-05,0,0,1.9010652467069284,25.21049322166689,ALAS1;DDX47;RPLP1;NRM;COX6A1;USE1;ACTB;RPS15;PPP3CB;MRPL2;TMEM147;TFG;GUK1;SIN3A;FTH1;HYAL2;RPL35;SCARF2;B2M;NUDC;RPS9;RPS5;CYBA;MIF;KIF22;VPS37B;RABGGTB;SAP30;EEF1A1;COX7A2L;NOA1;COL6A1;MCM5;RPL29;ALDOA;SLC25A5;SQSTM1;VPS28;LLGL1;GGNBP2;SZRD1;OAT;RPN2;WBP2;GSTP1;MRPS34;COX5B;CENPA;MRPL10;PPM1G;ARHGAP22;PSMB4;UBB;PCBP4;HSF1;MVB12A;EIF4H;DYM;RPS2;NDUFV1;BTF3;NDUFA9;CDT1;RANBP1;ZBTB17;XBP1;IDH3G;PLK1;GOT2;LGI2;KLHL21;MRPL28;CHCHD10;LSM4;PTK2;RPS26;FKBP1A;PFKL;PSMC4;NDUFAB1;CDK2AP2;UBAP2;TAB2;VIM;EIF3D,Aging_Perturbations_from_GEO_down
Mouse tumor 68 days vs 736 days GSE66414 aging:145,83/280,1.893018204181788e-06,2.353926984330397e-05,0,0,1.9125078423544173,25.20176239871097,CUEDC2;NOC2L;ACTB;SCAMP4;GJA1;TUBA1B;TUBB6;TRIM28;YWHAQ;ARHGDIB;SUMO2;PIM3;JUNB;TMSB10;BRD3;PDIA3;NUDC;PRMT1;RPS5;AIP;JOSD2;YWHAZ;MLF2;TUFM;NDUFS8;NDUFS7;COL6A1;UQCRC1;ATP6V1B2;TXNIP;ERH;PFDN2;CD47;PFN1;ALDOA;SLC25A5;SQSTM1;SF3B4;RTN3;SDC4;RPL12;ARL1;MRPL12;COX5A;CENPA;MRPL10;HSP90B1;PPM1G;PSMB6;STIP1;GNG10;CCNB1;UBB;ZMAT3;CCDC85B;LMNA;FAM120A;SPP1;EIF4H;POLR2F;RPS2;ZBTB7A;ATP6V1D;SEC11A;RPL19;CDT1;RANBP1;GOT2;VEGFB;PDAP1;PPP1CA;HNRNPL;FKBP1A;PSAT1;ABHD17A;GNB2;GNB1;EIF3G;SERINC1;LAMTOR4;SAE1;RNF187;EIF4G1,Aging_Perturbations_from_GEO_down
Mouse spinal cord 6 months vs 18 months GDS1280 aging:2,75/250,3.579584464938707e-06,4.265671487385292e-05,0,0,1.943705957719411,24.37458552850192,SLC25A1;APP;PYGB;TCF25;TECR;GHITM;COX6A1;ACTB;TMEM47;LAPTM4A;SLC22A17;HCFC1R1;CFL1;PTGDS;GLUL;GAMT;COX8A;GABARAPL1;MAP2K1;METRN;SECISBP2L;DYNLL2;LSS;COPZ1;SIRT2;SYN1;NCOR2;NDUFS5;PADI2;ERH;ALDOA;SLC25A5;ATP6V0C;TSPYL4;PFN2;RTN3;NDUFB9;TTYH3;NDUFB7;CNP;CEND1;ATP1A2;COX5B;OAZ1;COX5A;PSMA7;RTN4;RHOT1;UBB;SPP1;EIF4H;MBP;IGFBP7;NCDN;RAB28;NDUFV1;ABCA2;FDPS;CBX6;HSPA5;SMOX;NDUFA3;ZWINT;CS;G6PC3;ZDHHC9;GLRB;PSMC4;PSAT1;TOLLIP;TTC3;OCIAD1;UBA1;SERINC1;CALM1,Aging_Perturbations_from_GEO_down
Rat ventricle 4 months vs 21 months GDS399 aging:112,98/352,5.058072378013696e-06,5.786434800447668e-05,0,0,1.7526004242417512,21.37212986405058,ECI1;COX6A1;ACTB;TXN2;ACTG1;RPS15;CCND3;PSMD4;RPS18;CFL1;FDXR;AKT1;PRKACA;SCN1B;AP1B1;PTOV1;MIF;PRKAB1;COX7A2L;CDC34;PRKAR1A;CSNK2B;RBCK1;RAF1;RPL28;CUTA;FKBP2;NDUFB10;CBFB;CTBP1;OAZ1;PCBP4;PGK1;CYC1;NKX2-5;MPST;NGFR;CPSF4;JUP;IQSEC1;IDH2;CS;EHD4;CYCS;PYGB;ARF1;TECR;HSPB2;FHL2;AKR1B1;HSPB1;TUBA1B;MAP1LC3A;HYAL2;FLOT1;RPLP2;HRAS;ACADS;GIT1;COX8A;GPX1;SYN1;HADHA;NDUFS8;NDUFS7;NDUFS5;TCP1;ALDOA;SLC25A5;SLC25A11;MGLL;PPARD;BCAT2;NDUFB9;ECHS1;CRIP2;COX5B;PSMA7;CDC42;NRAS;UCP2;LMNA;HSF1;RPS2;RPL19;NDUFA9;CD74;NDUFA6;MDH1;NDUFA5;LAMB2;IDH3G;NFYC;NDUFA3;VEGFB;PPP1CA;FKBP1A;NDUFAB1,Aging_Perturbations_from_GEO_down
Mouse retina 3 months vs 16 months GDS2654 aging:64,83/289,7.328581951763807e-06,8.061440146940187e-05,0,0,1.8279330751609035,21.61298443147668,ARF1;PRKCSH;LPCAT1;UBP1;CHD4;RPL8;MRPL34;DUSP11;CALB2;NPEPPS;TUBA1B;TMEM223;MAEA;SMPD1;RPL36;CTSD;TMSB10;IER3;HMGN1;GABARAPL1;SEC13;HSP90AA1;HSBP1;RANGAP1;DYNLL2;EPN1;EEF1A1;RRAGA;PITPNM1;HNRNPH1;GORASP2;NDUFS5;ALDOA;RPL28;FYTTD1;NAPA;ATP6V1A;MAX;WBP2;GSTP1;SRRT;TIMM13;ARL1;MLLT1;UQCR10;HIF1A;MYL12A;HSP90B1;SNX3;PSMB6;CYTH2;PUF60;PCBP4;FAM120A;RPL13;APBB1;RAB28;BAK1;CDR2;RPL19;SF3A1;JUND;SF3A2;PMM1;HSPA5;NEK7;CHCHD10;RRP1B;DDHD1;ACVR2B;CHERP;HIGD2A;PNRC2;HNRNPL;RPS28;FASN;CDK2AP2;EIF3G;REEP6;CALM1;APBA3;SSBP2;HSPA1A,Aging_Perturbations_from_GEO_down
Mouse tumor 143 days vs 736 days GSE66414 aging:147,88/312,8.658825735776224e-06,8.763197723845356e-05,0,0,1.7828310227044404,20.782339002401383,TRAM1;CMAS;RPL31;ELAVL1;LMNB1;SCAMP4;GJA1;TUBA1B;TUBB6;LGALS1;UBL3;RPL18A;YWHAQ;SEC61G;COTL1;RPLP2;PIM3;JUNB;TMSB10;IER3;PHLDA3;BRD3;PDIA3;BRD2;UNC5B;PRMT1;METRN;RPS5;AHSA1;EDF1;FOS;YWHAZ;DDB1;MRPL52;TCP1;UQCRC1;FSCN1;ERH;PFDN2;PFN1;ATF5;ALDOA;RPL28;ARF6;CD63;RTN3;CEBPB;SMARCD2;RAB5C;SDC4;ARL1;TMEM160;COX5A;CENPB;HSP90B1;LMAN1;STIP1;PPP3R1;GNG10;ZMAT3;BAG3;CCDC85B;LMNA;FAM120A;SPP1;RALY;RPL18;VTI1B;RPL19;CCT4;MCL1;EGR1;PPP1R14B;TGFB1;MDH2;LAPTM5;PDAP1;PA2G4;TUBB4B;HNRNPL;SLC25A39;PSAT1;GNB2;SERINC1;RPS21;CLEC2D;RNF187;EIF4G1,Aging_Perturbations_from_GEO_down
Mouse tumor 551 days vs 736 days GSE66414 aging:148,85/299,8.80824263614902e-06,8.763197723845356e-05,0,0,1.802118957936045,20.976344995515056,TENM4;RPL31;HMGB2;ELAVL1;LMNB1;TUBA1B;LAPTM4A;TUBB6;UBL3;PSMD4;RPL18A;SEC61G;ARHGDIB;RPLP2;PIM3;JUNB;TMSB10;IER3;PHLDA3;BRD3;PDIA3;RPS9;GPX1;UNC5B;PRMT1;METRN;RPS5;AHSA1;ZFP91;FOS;APRT;DDB1;HNRNPH1;TCP1;UQCRC1;FSCN1;STRAP;ERH;PFDN2;CD47;PFN1;RPL28;ARF6;CD63;RTN3;CEBPB;SMARCD2;RAB5C;ATF6B;COX5A;HSP90B1;STIP1;PPP3R1;PSMB4;UBB;ZMAT3;BAG3;CCDC85B;LMNA;FAM120A;SPP1;RALY;RPL18;VTI1B;RPL19;CCT4;EGR1;PPP1R14B;LAPTM5;PDAP1;PA2G4;TUBB4B;PRRC2A;HNRNPL;SLC25A39;PSAT1;GNB2;CALM3;SERINC1;LAMTOR4;RPS21;CLEC2D;CDK16;RNF187;EIF4G1,Aging_Perturbations_from_GEO_down
Rat hippocampus dentate gyrus 18 months vs 28 months GSE21681 aging:358,79/273,8.885759929773262e-06,8.763197723845356e-05,0,0,1.846756511275412,21.47973684160301,CYFIP1;NCKAP1;SCOC;CMAS;BTG1;THUMPD1;SLC7A11;WASL;HERPUD1;RNF115;PPP3CB;TBK1;AKAP11;YWHAQ;ENC1;SUMO2;HMGN3;KPNA3;HMGN1;DGCR2;MAP2K1;ZFR;RPS3A;FBXO11;ITFG1;PJA2;EEF1A1;TMX1;TCP1;ATP6V1B2;TMEM106B;SLC25A5;SSX2IP;CHMP5;LRRC58;DDX5;HDAC2;CTBP1;FOXG1;USO1;KLHL12;BHLHE22;HIF1A;NALCN;SNX3;COMMD8;GNG10;BTBD1;UBC;FAM120A;FCHO2;CTNNA1;RAB28;ATP6V1D;CCT4;RAP1GAP2;EGR1;CD164;AKIRIN1;NDFIP1;MDH1;HSPA5;WFS1;CBX3;BAD;TNK2;CNBP;WDR13;ARCN1;RNF146;MOB4;LHX2;PSAT1;TTC3;SERINC1;KRAS;CALM1;SERINC3;SMAP1,Aging_Perturbations_from_GEO_down
Mouse tumor 68 days vs 551 days GSE66414 aging:144,81/282,9.335448406540936e-06,8.899794147569027e-05,0,0,1.827800916808434,21.16902679362238,NDUFA13;ALAS1;TFRC;SPPL2B;NRM;ACTB;RPS15;GJA1;MRPL2;TMEM147;GUK1;FTH1;HYAL2;RPL35;SCARF2;TPD52;LYPLA2;BNIP3L;NUDC;AIP;TALDO1;CYBA;MIF;KIF22;VPS37B;RABGGTB;MFSD10;MLF2;SAP30;EEF1A1;COX7A2L;NDUFS7;COL6A1;TXNIP;MCM5;KDELR3;RPL29;ALDOA;SLC25A5;VPS28;LLGL1;SZRD1;OAT;RPN2;WBP2;GSTP1;CENPA;HSD17B10;MRPL10;ARHGAP22;PCBP4;POLD1;HSF1;MVB12A;EIF4H;POLR2F;CAMTA2;RPS2;NDUFV1;RPL19;POLR2L;CDT1;CD164;XBP1;SMAD3;NAA10;PLK1;GOT2;LGI2;MRPL28;LSM4;VASN;ANLN;PSMC4;PRC1;CDK2AP2;EIF3G;UBE2O;UBAP2;TAB2;EIF3D,Aging_Perturbations_from_GEO_down
Mouse oculomotor nucleus 6 months vs 30 months GDS1280 aging:6,91/327,1.1021349071378895e-05,0.0001016808333682053,0,0,1.7500417525576424,19.977910231242863,PYGB;ARF1;AHCYL1;CHPF;TCF25;RPLP1;TECR;ROGDI;GHITM;COX6A1;ACTG1;CALB2;CHCHD2;HCFC1R1;EFHD2;PTGDS;SCN1B;SKP1;COX8A;RPS9;HSP90AA1;GPR37;USP5;HPCAL1;YWHAZ;COPZ1;SYN1;UHMK1;CLDN11;COX7A2L;TUBB2B;LMBRD1;TUBB2A;RCN2;NDUFS8;NDUFS7;TMX1;DNAJC5;CSNK2B;UQCRC1;ATP6V1B2;VAMP1;SLC25A5;ATP6V0C;PFN2;RTN3;NDUFB9;OAT;DCTN3;PDXP;COX5B;MFF;OAZ1;SNX3;MRPL20;PPP3R1;PGK1;MBP;RABAC1;RPL18;RAB6A;NDUFV1;SLC25A22;CCT4;NPDC1;CD164;FDPS;CBX6;MYPOP;NDUFA6;HSPA5;MDH2;IDH3G;NDUFA3;GOT2;CHCHD10;AP2B1;ZWINT;CS;FKBP1A;GLRB;UBE2S;TTC3;UBE2O;CYCS;CALM3;UBA1;CCM2;STUB1;ACO2;CALM1,Aging_Perturbations_from_GEO_down
